id,type,size,locality,price
1042,1,31,0,11500
1043,3,82,5,22000
1044,1,30,6,17000
1045,4,54,9,17000
1046,1,31,5,18000
1047,3,68,5,20000
1048,4,89,10,19900
1049,5,100,2,50000
1050,3,51,9,16900
1051,5,88,2,39000
1052,5,74,2,23200
1053,5,92,5,37000
1054,6,94,8,36000
1055,3,72,2,27500
1056,3,64,4,13000
1057,2,45,10,11000
1058,4,50,4,12900
1059,5,100,3,21990
1060,3,45,0,15000
1061,4,51,6,16000
1062,3,81,5,23000
1063,5,69,4,18500
1064,4,50,3,13000
1065,5,109,2,29950
1066,1,45,0,13950
1067,3,42,0,11000
1068,4,57,0,19900
1069,3,54,0,19900
1070,8,98,2,32000
1071,1,94,10,12500
1072,4,92,5,32900
1073,5,90,4,25000
1074,3,61,9,17000
1075,3,106,1,36000
1076,3,48,3,19500
1077,6,130,3,35000
1078,1,33,5,10000
1079,5,102,2,34000
1080,4,65,2,24000
1081,1,64,8,14900
1082,6,110,3,28000
1083,3,47,2,21000
1084,3,42,3,16500
1085,3,53,7,22000
1086,10,182,3,49900
1087,4,81,2,26000
1088,3,40,9,13000
1089,5,113,3,24500
1090,3,81,1,25000
1091,5,89,3,42000
1092,1,60,6,24500
1093,5,80,5,18000
1094,3,64,5,15500
1095,9,190,8,40000
1096,5,86,0,24990
1097,3,64,3,21000
1098,3,61,3,21000
1099,3,50,0,13000
1100,1,40,4,10500
1101,3,62,10,12500
1102,4,53,0,17000
1103,3,65,0,14990
1104,4,56,10,16800
1105,1,23,10,9000
1106,5,76,10,20000
1107,8,121,5,21000
1108,6,110,1,48000
1109,3,50,9,14900
1110,1,34,10,14000
1111,3,65,5,13500
1112,6,70,4,16000
1113,3,56,10,15400
1114,5,98,2,35800
1115,2,30,1,17500
1116,6,85,6,18200
1117,3,44,0,16000
1118,6,54,6,13000
1119,4,70,1,20000
1120,1,32,0,11300
1121,4,73,2,25500
1122,4,73,2,25500
1123,4,65,10,14000
1124,2,30,0,9600
1125,1,18,1,11500
1126,1,32,4,10000
1127,3,42,4,13500
1128,4,60,6,18000
1129,1,26,3,14000
1130,1,34,8,11500
1131,3,64,10,14220
1132,3,63,5,17000
1133,1,45,9,15500
1134,7,166,3,119855
1135,4,60,9,12000
1136,2,30,6,9000
1137,1,25,0,11000
1138,2,45,10,12000
1139,6,62,2,18000
1140,6,103,1,52000
1141,2,36,9,13000
1142,3,50,3,12000
1143,6,104,1,52000
1144,6,107,2,38000
1145,3.0,81.0,7.0,
1146,3,40,2,20000
1147,7,166,3,119800
1148,3,45,5,14000
1149,3,65,6,17500
1150,3,50,8,14000
1151,4,50,3,17000
1152,3,45,3,12000
1153,1,21,3,8000
1154,5,85,8,31900
1155,3,70,6,17800
1156,3,63,0,18000
1157,3,42,9,13500
1158,5,72,3,21000
1159,3,62,5,18000
1160,3,60,9,15500
1161,3,66,4,17000
1162,3,45,4,9500
1163,1,42,9,11000
1164,3,41,4,12000
1165,6,67,4,19500
1166,4,51,4,13000
1167,6,97,1,24000
1168,3,66,1,30000
1169,4,50,10,13000
1170,3,50,10,15000
1171,1,40,10,14000
1172,3,55,9,18000
1173,6,120,6,31000
1174,5,82,4,15000
1175,3,42,4,14000
1176,3,58,5,17500
1177,3,52,6,18500
1178,6,81,9,16990
1179,3,48,4,14800
1180,3,63,5,13500
1181,4,55,9,15000
1182,5,81,5,18000
1183,3,52,3,22500
1184,5,87,0,20000
1185,1,34,1,19900
1186,5,75,3,18900
1187,5,104,1,48000
1188,3,41,6,12700
1189,5,78,2,39000
1190,5,75,9,20000
1191,5,92,2,45000
1192,4,65,1,31000
1193,5,77,6,16000
1194,1,34,10,10500
1195,7,170,7,68000
1196,1,35,5,11500
1197,1,34,10,12500
1198,2,60,6,13990
1199,1,33,9,13000
1200,3,49,5,12500
1201,2,37,0,9900
1202,2,30,0,16900
1203,3,57,8,16000
1204,3,131,5,20000
1205,6,120,10,27000
1206,3,44,4,13000
1207,1,21,0,8000
1208,5,85,4,18000
1209,2,41,0,12500
1210,1,38,10,11000
1211,6,66,0,15000
1212,6,58,0,19999
1213,5,56,2,31500
1214,3,55,4,16000
1215,2,43,8,13500
1216,5,68,10,18000
1217,5,85,10,21000
1218,3,67,6,15500
1219,3,106,5,19500
1220,4,81,3,19000
1221,5,92,1,45000
1222,6,103,4,21500
1223,5,80,0,26000
1224,3,45,3,15000
1225,2,46,4,14500
1226,2,44,4,14000
1227,3,59,5,17000
1228,4,51,9,15500
1229,3,60,5,23000
1230,3,58,4,16000
1231,1,34,8,12500
1232,3,47,3,16000
1233,1,31,5,13500
1234,3,41,7,16000
1235,3,48,0,14000
1236,6,98,2,33500
1237,3,48,5,14900
1238,3,50,0,13500
1239,3,50,1,22000
1240,4,90,1,26000
1241,1,46,0,14000
